AracID;DepoSeviyesi;DepoSıcaklığı;MotorYağBasıncı;MotorYağSeviyesi;Fren_ArkaSağ2;Fren_ArkaSol2;Fren_ArkaSol1;Fren_ÖnSağ;Fren_ÖnSol;Fren_ArkaSol3;Fren_ArkaSağ3;Fren_ArkaSağ1;YardımcıBasınç;Frenİkincil;FrenBirincil;KompresörDurumu;İçSıcaklık_Ön;İçSıcaklık_Arka;AraçHızı;RetarderTorkYüzdesi;YakıtTüketim;FrenPedalı;MotorYükYüzdesi;GazPedalı;TurboÇıkış;MotorTorkYüzdesi;SürücüTork;MotorHız;OrtamSıcaklığı;EgzozSıcaklığı;HavaGiriş;VitesSeçili;VitesAktif;DPF_Çıkış;ŞarjVolt;AküVolt;ŞanzımanYağ;SürüşModu;DepoSeviye;HavaGirişSıcaklığı;ToplamYakıt;OdoYüksek;YokuşKalkış;DurmaFren;MotorÇalışmaSüresi;ÖnAksAğırlığı;MotorAlarm;SoğutucuSıcaklığı;YakıtMotorSıcaklığı;MotorYağSıcaklığı;HavaDebisi;TurboTürbin;FrenAlarm;AksAlarm;SanzımanAlarm
Araç 26;0.609302;0.636364;0.827586;1.000000;0.714286;0.697115;0.272251;0.544218;0.642857;0.591928;0.475336;0.350000;0.424000;0.725352;0.725352;1.000000;0.800000;0.800000;0.638570;1.000000;0.777872;0.000000;0.920000;0.932000;0.959554;0.728000;0.875000;0.641064;0.802310;0.656284;0.858491;;1.000000;0.148125;0.813433;0.813433;0.955794;0.000000;0.473896;0.411589;0.815571;0.651329;0.000000;0.000000;0.830908;0.241073;;0.976471;0.531250;0.870823;;;;;
Araç 28;0.353488;0.840909;0.919540;1.000000;0.751323;0.634615;0.649215;0.571429;0.670330;0.448430;0.318386;0.600000;0.480000;0.830986;0.830986;1.000000;0.880000;0.880000;0.889310;0.902439;0.000000;0.324074;0.000000;0.000000;0.810419;0.000000;0.000000;0.890139;0.826087;0.880215;0.150943;;1.000000;0.224927;0.902985;0.902985;0.896852;0.000000;0.485944;0.285946;0.906654;0.819163;0.000000;0.000000;0.914419;0.184809;;0.917647;0.453125;0.828419;;;;;
Araç 37;0.241860;0.727273;0.804598;1.000000;0.820106;0.846154;0.727749;0.278912;0.467033;0.757848;1.000000;0.740000;0.580000;1.000000;1.000000;1.000000;0.880000;0.880000;0.202619;0.817073;0.016892;0.435185;0.040000;0.000000;0.727455;0.016000;0.000000;0.340008;0.849864;0.488496;0.094340;;0.600000;0.154166;0.888060;0.888060;0.929002;0.000000;0.530120;0.189006;0.883356;0.716939;0.000000;0.000000;0.881367;0.249951;;0.929412;0.421875;0.841898;;;;;
Araç 34;0.390698;0.795455;0.850575;1.000000;0.761905;0.774038;0.727749;0.659864;0.763736;0.641256;0.816143;0.685000;0.464000;0.823944;0.823944;1.000000;0.840000;0.840000;0.714286;1.000000;0.950169;0.000000;0.990000;1.000000;0.850936;0.768000;0.971154;0.730490;0.849864;0.670640;0.735849;;1.000000;0.135138;0.910448;0.910448;0.815472;0.000000;0.831325;0.311942;0.796871;0.624809;0.000000;0.000000;0.816573;0.214762;;0.858824;0.296875;0.825892;;;;;
Araç 36;0.483721;0.681818;0.885057;1.000000;0.619048;0.774038;0.921466;0.557823;0.598901;0.408072;0.524664;0.830000;0.444000;0.788732;0.781690;1.000000;0.760000;0.760000;0.641896;1.000000;0.944257;0.000000;0.990000;1.000000;0.968701;0.760000;0.961538;0.757372;0.775815;0.721912;0.896226;;0.800000;0.149413;0.902985;0.902985;0.942063;1.000000;0.811245;0.335229;0.883542;0.812631;0.000000;0.000000;0.903878;0.135797;;0.976471;0.406250;0.870823;;;;;
Araç 24;0.437209;0.659091;0.839080;1.000000;0.809524;0.826923;0.638743;0.619048;0.642857;0.340807;0.466368;0.685000;0.456000;0.781690;0.781690;1.000000;0.800000;0.800000;0.868576;1.000000;0.000000;0.148148;0.000000;0.000000;0.886594;0.000000;0.000000;0.865451;0.769701;0.689098;0.301887;;1.000000;0.174191;0.940299;0.940299;0.938714;0.000000;0.465863;0.326564;0.885660;0.804089;0.000000;0.000000;0.892967;0.289287;;0.952941;0.390625;0.799775;;;;;
Araç 39;0.604651;0.795455;0.839080;1.000000;0.682540;0.759615;0.476440;0.884354;0.906593;0.650224;0.641256;0.600000;0.492000;0.845070;0.845070;1.000000;0.720000;0.720000;0.930052;1.000000;0.595439;0.000000;0.660000;1.000000;0.879020;0.408000;0.490385;0.938417;0.747962;0.672691;0.452830;;1.000000;0.157993;0.873134;0.873134;0.942063;0.000000;0.562249;0.370972;0.912733;0.799975;0.000000;0.000000;0.923009;0.083144;;0.941176;0.468750;0.931761;;;;;
Araç 31;0.869767;0.795455;0.816092;1.000000;0.566138;0.500000;0.298429;0.455782;0.489011;0.282511;0.479821;0.285000;0.468000;0.795775;0.795775;0.000000;0.760000;0.760000;0.424778;1.000000;0.000000;0.175926;0.000000;0.000000;0.752823;0.000000;0.000000;0.493211;0.695652;0.552266;0.056604;;0.800000;0.157540;0.947761;0.947761;0.973208;0.000000;0.506024;0.404549;0.924628;0.844217;0.000000;0.000000;0.919494;0.086396;;0.905882;0.468750;0.848357;;;;;
Araç 41;0.720930;0.159091;0.724138;1.000000;0.693122;0.687500;0.591623;0.632653;0.692308;0.681614;0.641256;0.635000;0.456000;0.781690;0.781690;1.000000;0.640000;0.640000;0.000000;1.000000;0.032939;0.342593;0.150000;0.000000;0.639846;0.056000;0.000000;0.301879;0.775815;0.253285;0.018868;;;0.067043;0.932836;0.932836;0.761889;0.000000;0.947791;0.357975;0.784496;0.308169;0.166667;0.000000;0.795464;0.202745;;0.847059;0.312500;0.713564;;;;;
Araç 43;0.651163;0.795455;0.827586;1.000000;0.735450;0.812500;0.523560;0.544218;0.692308;0.717489;0.690583;0.675000;0.456000;0.767606;0.781690;1.000000;0.760000;0.760000;0.311126;0.390244;0.000000;0.277778;0.000000;0.000000;0.800629;0.000000;0.000000;0.493074;0.841033;0.641928;0.084906;;0.600000;0.181864;0.962687;0.962687;0.886135;0.000000;0.493976;0.369077;0.896453;0.790121;0.000000;0.000000;0.902747;0.143944;;0.952941;0.468750;0.905644;;;;;
